timestamp,src_ip,user,event,status,port
2025-09-20T13:11:36Z,10.0.2.114,alice,auth,success,2247
2025-09-20T13:11:36Z,10.0.0.180,root,connect,success,4940
2025-09-20T13:11:40Z,10.0.5.131,eve,command,success,6268
2025-09-20T13:12:22Z,10.0.2.126,alice,auth,success,6442
2025-09-20T13:12:50Z,10.0.0.30,root,connect,fail,4413
2025-09-20T13:13:00Z,10.0.5.166,eve,connect,success,5702
2025-09-20T13:13:09Z,10.0.2.5,dave,command,success,4474
2025-09-20T13:13:25Z,10.0.5.151,alice,auth,success,2952
2025-09-20T13:13:27Z,10.0.3.171,ops,command,success,5459
2025-09-20T13:13:28Z,10.0.2.31,root,auth,success,5010
2025-09-20T13:13:30Z,10.0.0.169,dave,auth,success,6064
2025-09-20T13:13:35Z,10.0.4.99,dave,command,fail,4843
2025-09-20T13:13:36Z,10.0.2.186,alice,connect,success,3196
2025-09-20T13:13:45Z,10.0.2.114,carol,connect,success,4891
2025-09-20T13:14:01Z,10.0.4.211,root,auth,success,1236
2025-09-20T13:14:08Z,10.0.1.238,bob,auth,success,3399
2025-09-20T13:14:10Z,10.0.3.39,root,auth,success,4712
2025-09-20T13:14:17Z,10.0.2.149,bob,auth,success,5439
2025-09-20T13:14:20Z,10.0.1.224,root,auth,success,2834
2025-09-20T13:14:29Z,10.0.1.210,bob,connect,success,2895
2025-09-20T13:14:33Z,10.0.3.29,bob,command,success,2743
2025-09-20T13:14:38Z,10.0.4.12,ops,command,success,660
2025-09-20T13:14:39Z,10.0.3.163,bob,connect,success,2785
2025-09-20T13:14:47Z,10.0.3.13,carol,connect,success,1761
2025-09-20T13:14:47Z,10.0.1.248,root,command,fail,4754
2025-09-20T13:14:48Z,10.0.5.111,dave,command,success,3162
2025-09-20T13:14:57Z,10.0.3.52,bob,command,success,2477
2025-09-20T13:14:59Z,10.0.0.226,root,auth,success,785
2025-09-20T13:15:03Z,10.0.2.179,eve,connect,success,3007
2025-09-20T13:15:17Z,10.0.1.117,eve,auth,success,5795
2025-09-20T13:15:19Z,10.0.4.64,alice,command,success,3146
2025-09-20T13:15:41Z,10.0.1.102,eve,command,success,4885
2025-09-20T13:15:45Z,10.0.2.158,alice,connect,success,1092
2025-09-20T13:16:33Z,10.0.3.240,dave,command,success,1455
2025-09-20T13:17:04Z,10.0.3.10,bob,connect,success,3022
2025-09-20T13:17:17Z,10.0.3.42,alice,auth,success,1578
2025-09-20T13:17:23Z,10.0.1.215,root,auth,success,5847
2025-09-20T13:17:29Z,10.0.2.15,ops,command,success,4564
2025-09-20T13:17:40Z,10.0.2.237,alice,command,success,1482
2025-09-20T13:17:48Z,10.0.0.205,ops,connect,success,5354
2025-09-20T13:18:00Z,10.0.5.79,eve,connect,success,5522
2025-09-20T13:18:02Z,10.0.3.71,dave,command,success,6148
2025-09-20T13:18:10Z,10.0.4.246,eve,command,success,264
2025-09-20T13:18:16Z,10.0.1.87,alice,auth,success,2887
2025-09-20T13:18:30Z,10.0.4.212,root,connect,success,4206
2025-09-20T13:18:51Z,10.0.1.26,alice,connect,success,2412
2025-09-20T13:19:28Z,10.0.2.182,root,auth,success,2246
2025-09-20T13:19:37Z,10.0.2.235,ops,auth,fail,734
2025-09-20T13:19:53Z,10.0.3.120,eve,connect,success,358
2025-09-20T13:19:55Z,10.0.0.49,bob,command,success,4615
2025-09-20T13:19:59Z,10.0.2.78,ops,auth,success,2776
2025-09-20T13:20:00Z,10.0.3.182,alice,connect,success,1373
2025-09-20T13:20:08Z,10.0.2.188,root,auth,success,5177
2025-09-20T13:20:16Z,10.0.0.87,dave,auth,success,4286
2025-09-20T13:20:16Z,10.0.0.136,dave,command,success,661
2025-09-20T13:20:52Z,10.0.4.172,carol,command,success,4931
2025-09-20T13:21:17Z,10.0.5.235,bob,command,success,4575
2025-09-20T13:21:18Z,10.0.5.231,bob,auth,success,2070
2025-09-20T13:21:22Z,10.0.5.212,carol,auth,success,3876
2025-09-20T13:21:25Z,10.0.0.69,bob,auth,success,6487
2025-09-20T13:21:28Z,10.0.3.119,ops,connect,success,1124
2025-09-20T13:21:33Z,10.0.4.5,ops,auth,success,4524
2025-09-20T13:21:34Z,10.0.1.86,root,connect,success,45
2025-09-20T13:21:54Z,10.0.3.107,bob,auth,success,1046
2025-09-20T13:21:56Z,10.0.4.86,ops,command,success,5472
2025-09-20T13:22:02Z,10.0.0.134,carol,auth,success,4252
2025-09-20T13:22:05Z,10.0.2.222,ops,command,success,1381
2025-09-20T13:22:08Z,10.0.5.41,dave,command,success,5065
2025-09-20T13:22:21Z,10.0.4.254,eve,auth,success,2431
2025-09-20T13:22:27Z,10.0.1.29,bob,command,success,3352
2025-09-20T13:22:46Z,10.0.4.131,root,connect,success,323
2025-09-20T13:22:48Z,10.0.4.104,carol,auth,success,4196
2025-09-20T13:22:58Z,10.0.4.20,dave,connect,success,1003
2025-09-20T13:22:58Z,10.0.2.236,root,auth,success,1641
2025-09-20T13:23:25Z,10.0.0.110,carol,connect,success,515
2025-09-20T13:23:44Z,10.0.3.143,eve,connect,success,4530
2025-09-20T13:23:52Z,10.0.2.93,bob,auth,success,841
2025-09-20T13:24:08Z,10.0.2.36,alice,command,success,5287
2025-09-20T13:24:08Z,10.0.4.17,ops,auth,success,4807
